Nomor,Nama File,Due Date,PO Number,Tel,Email,Site,SUB_TOTAL,DISCOUNT,TAX,TOTAL,Bank Name,Branch Name,Bank Account Number,Bank Swift Code
114,Template1_Instance20.jpg,17-Jun-2017,65,+(907)929-8719,hammondholly@example.com,https://robertson.com/,1037.57 USD,(-) 33.41,VAT (6.17%): 63.99 USD,1071.89 USD,State Bank of USA,Raf CAMP,11539956,SBININBB250
115,Template1_Instance21.jpg,11-Mar-2009,74,+(409)452-2450,theresacook@example.com,http://www.miller.com/,721.05 USD,(-) 31.37,VAT (5.19%): 37.43 USD,728.05 USD,Central Bank of Texas,Raf CAMP,15737646,SBININBB250
116,Template1_Instance22.jpg,07-Dec-2018,92,+(189)984-0819,oevans@example.com,https://mason.info/,916.41 USD,(-) 9.53,VAT (6.03%): 55.28 USD,931.09 USD,State Bank of Texas,Raf CAMP,12438592,SBININBB250
117,Template1_Instance23.jpg,22-Nov-2001,82,+(403)747-6395,tatkins@example.org,https://www.price-paul.net/,903.29 $,(-) 30.53,VAT (5.14%): 46.42 $,921.80 $,State Bank of Texas,Raf CAMP,11975800,SBININBB250
118,Template1_Instance24.jpg,31-Jul-2000,33,+(122)911-9920,wrobinson@example.com,http://www.stephenson-murphy.info/,735.75 USD,(-) 10.23,VAT (5.80%): 42.69 USD,749.16 USD,State Bank of Europe,Raf CAMP,15818589,SBININBB250
119,Template1_Instance25.jpg,19-Apr-2018,86,+(075)927-7182,vwaters@example.org,https://www.barber.com/,1303.60 $,(-) 36.89,VAT (5.42%): 70.71 $,1355.93 $,Central Bank of Europe,Raf CAMP,19543799,SBININBB250
120,Template1_Instance26.jpg,16-May-1998,70,+(108)103-7332,perezdorothy@example.net,http://www.hicks.com/,345.04 USD,(-) 4.93,VAT (4.94%): 17.05 USD,353.64 USD,Central Bank of England,Raf CAMP,11663131,SBININBB250
121,Template1_Instance27.jpg,17-Jan-2008,59,+(057)950-6990,beardelizabeth@example.com,http://www.morgan-gutierrez.com/,523.72 $,(-) 19.74,VAT (4.68%): 24.50 $,540.78 $,State Bank of England,Raf CAMP,12985778,SBININBB250
122,Template1_Instance28.jpg,19-Feb-2011,16,+(016)311-1790,annpierce@example.org,https://pitts.info/,279.64 $,(-) 7.97,VAT (4.27%): 11.94 $,284.39 $,State Bank of USA,Raf CAMP,19651510,SBININBB250
123,Template1_Instance29.jpg,28-Mar-2013,28,+(123)658-1871,stanleyrichard@example.net,http://www.elliott-gregory.net/,486.09 $,(-) 16.24,VAT (5.72%): 27.80 $,494.84 $,Central Bank of Texas,Raf CAMP,14107272,SBININBB250
124,Template1_Instance3.jpg,30-Sep-2004,91,+(871)109-5778,markgomez@example.com,https://melendez.biz/,516.46 USD,(-) 17.66,VAT (6.71%): 34.66 USD,529.33 USD,Central Bank of USA,Raf CAMP,11158150,SBININBB250
125,Template1_Instance30.jpg,10-Jun-1996,88,+(895)007-2714,kroach@example.org,http://gonzalez-green.org/,1313.64 USD,(-) 26.8,VAT (5.34%): 70.15 USD,1355.28 USD,Central Bank of Texas,Raf CAMP,16860811,SBININBB250
126,Template1_Instance31.jpg,11-Dec-2018,65,+(792)841-5279,ruizrobert@example.org,http://le-ayala.org/,1617.22 $,(-) 72.29,VAT (5.61%): 90.70 $,1686.90 $,Central Bank of California,Raf CAMP,12402081,SBININBB250
127,Template1_Instance32.jpg,16-Jan-2022,64,+(770)987-5082,rschaefer@example.org,http://www.white.net/,378.29 USD,(-) 5.14,VAT (6.07%): 22.95 USD,391.86 USD,State Bank of England,Raf CAMP,13368910,SBININBB250
128,Template1_Instance33.jpg,31-May-1994,78,+(471)843-7892,denglish@example.com,https://www.keith-bailey.com/,1145.70 $,(-) 17.53,VAT (3.48%): 39.91 $,1129.93 $,Central Bank of Europe,Raf CAMP,19656676,SBININBB250
129,Template1_Instance34.jpg,04-Oct-1996,36,+(093)787-2495,williamstheresa@example.org,http://carpenter.com/,523.96 USD,(-) 10.69,VAT (3.77%): 19.75 USD,535.80 USD,State Bank of Europe,Raf CAMP,14427096,SBININBB250
130,Template1_Instance35.jpg,08-Mar-1998,99,+(113)080-1681,bryantsarah@example.org,http://www.goodman.com/,922.85 USD,(-) 38.21,VAT (5.82%): 53.75 USD,935.35 USD,Central Bank of USA,Raf CAMP,15970502,SBININBB250
131,Template1_Instance36.jpg,12-Jan-2007,42,+(090)002-4667,tiffany49@example.org,https://fisher-armstrong.net/,630.54 USD,(-) 17.78,VAT (4.99%): 31.45 USD,635.70 USD,State Bank of England,Raf CAMP,13153079,SBININBB250
132,Template1_Instance37.jpg,23-Feb-2015,15,+(248)349-9542,zachary31@example.net,https://sanders.org/,97.88 $,(-) 4.72,VAT (3.80%): 3.72 $,100.16 $,Central Bank of Europe,Raf CAMP,18169866,SBININBB250
133,Template1_Instance38.jpg,02-Nov-2011,15,+(778)285-6124,antonio01@example.org,https://www.hall-wise.com/,38.45 $,(-) 0.89,VAT (6.48%): 2.49 $,39.99 $,Central Bank of California,Raf CAMP,13513833,SBININBB250
134,Template1_Instance39.jpg,12-Nov-2012,71,+(906)008-6420,sharonthomas@example.com,http://www.doyle-myers.net/,309.48 EUR,(-) 10.09,VAT (6.31%): 19.53 EUR,316.48 EUR,Central Bank of Europe,Raf CAMP,10000014,SBININBB250
135,Template1_Instance4.jpg,01-Feb-2016,10,+(590)113-5475,thompsonlindsey@example.com,http://www.kennedy.com/,384.37 $,(-) 13.18,VAT (4.85%): 18.63 $,384.59 $,State Bank of USA,Raf CAMP,14010805,SBININBB250
136,Template1_Instance40.jpg,05-Sep-1995,20,+(496)894-6592,colin87@example.org,https://www.miller.org/,747.09 $,(-) 17.93,VAT (5.04%): 37.62 $,767.53 $,Central Bank of Europe,Raf CAMP,12373947,SBININBB250
137,Template1_Instance41.jpg,09-Mar-2000,49,+(728)192-7518,tyleralexander@example.net,https://www.yoder.info/,634.29 EUR,(-) 12.11,VAT (3.23%): 20.48 EUR,624.70 EUR,State Bank of Texas,Raf CAMP,11870590,SBININBB250
138,Template1_Instance42.jpg,13-Sep-2017,42,+(663)969-3983,tony39@example.net,https://www.stevens.com/,874.91 $,(-) 22.4,VAT (6.71%): 58.67 $,891.06 $,Central Bank of Texas,Raf CAMP,10082929,SBININBB250
139,Template1_Instance43.jpg,17-May-1997,29,+(413)413-7574,davidyoung@example.org,http://lindsey-aguilar.com/,1218.52 $,(-) 33.63,VAT (6.52%): 79.50 $,1268.41 $,State Bank of Texas,Raf CAMP,13871018,SBININBB250
140,Template1_Instance44.jpg,30-Sep-2003,47,+(286)221-2531,kristen87@example.com,https://www.smith.net/,316.52 $,(-) 6.81,VAT (3.51%): 11.12 $,314.79 $,Central Bank of California,Raf CAMP,16472398,SBININBB250
141,Template1_Instance45.jpg,04-Dec-1995,04,+(625)900-3254,tammy58@example.net,https://arias.com/,260.88 USD,(-) 6.55,VAT (4.12%): 10.74 USD,258.76 USD,State Bank of USA,Raf CAMP,13695274,SBININBB250
142,Template1_Instance46.jpg,31-Aug-2008,83,+(213)253-3186,medinajoseph@example.org,https://robinson.net/,1122.19 USD,(-) 50.72,VAT (4.55%): 51.00 USD,1123.70 USD,Central Bank of Texas,Raf CAMP,12028908,SBININBB250
143,Template1_Instance47.jpg,11-Aug-2003,66,+(570)972-0037,gjensen@example.net,https://www.cameron.com/,530.17 $,(-) 11.03,VAT (5.84%): 30.97 $,538.66 $,State Bank of Europe,Raf CAMP,18633147,SBININBB250
144,Template1_Instance48.jpg,18-Nov-2020,60,+(925)539-5362,murphykevin@example.net,https://strickland.com/,850.27 EUR,(-) 32.48,VAT (3.67%): 31.22 EUR,857.43 EUR,Central Bank of Texas,Raf CAMP,12621431,SBININBB250
145,Template1_Instance49.jpg,06-Apr-1998,98,+(350)705-4369,courtney93@example.org,http://www.davis.com/,645.44 EUR,(-) 11.94,VAT (6.82%): 44.03 EUR,669.07 EUR,Central Bank of Europe,Raf CAMP,17149517,SBININBB250
146,Template1_Instance5.jpg,17-Sep-2000,26,+(762)992-7237,pauloneill@example.com,http://francis.com/,599.15 $,(-) 20.61,VAT (4.98%): 29.85 $,608.33 $,State Bank of California,Raf CAMP,17881536,SBININBB250
147,Template1_Instance50.jpg,29-Apr-2002,56,+(948)970-8449,pdavis@example.com,http://nguyen.biz/,1462.77 EUR,(-) 71.97,VAT (4.90%): 71.69 EUR,1481.07 EUR,State Bank of USA,Raf CAMP,13457705,SBININBB250
148,Template1_Instance51.jpg,16-Oct-2020,38,+(923)977-0436,kristine83@example.com,http://miller-johnson.com/,423.05 USD,(-) 8.84,VAT (6.60%): 27.91 USD,434.25 USD,Central Bank of California,Raf CAMP,17287087,SBININBB250
149,Template1_Instance52.jpg,10-Dec-2001,12,+(604)488-5264,iancaldwell@example.org,https://www.kim.com/,347.83 $,(-) 11.13,VAT (6.39%): 22.22 $,358.57 $,Central Bank of Texas,Raf CAMP,16297672,SBININBB250
150,Template1_Instance53.jpg,27-Nov-2017,59,+(182)486-3311,tonyrubio@example.org,https://guzman.com/,745.88 EUR,(-) 21.93,VAT (6.51%): 48.55 EUR,778.99 EUR,Central Bank of USA,Raf CAMP,12455701,SBININBB250
151,Template1_Instance54.jpg,26-Nov-2014,34,+(084)931-9306,leslierice@example.net,https://wright.com/,319.73 EUR,(-) 7.26,VAT (4.70%): 15.02 EUR,324.84 EUR,Central Bank of Europe,Raf CAMP,13752864,SBININBB250
152,Template1_Instance55.jpg,23-Sep-2002,81,+(871)788-1911,ybarnett@example.com,http://www.sanders.com/,101.66 $,(-) 2.86,VAT (6.81%): 6.92 $,104.38 $,Central Bank of USA,Raf CAMP,17462746,SBININBB250
153,Template1_Instance56.jpg,12-Jul-1994,82,+(607)136-6095,danielconley@example.org,https://moore-clay.info/,460.50 EUR,(-) 14.23,VAT (4.23%): 19.48 EUR,468.28 EUR,State Bank of England,Raf CAMP,11644834,SBININBB250
154,Template1_Instance57.jpg,03-Jul-2012,76,+(735)520-6097,sboyd@example.net,https://www.vasquez-jimenez.biz/,435.69 USD,(-) 21.65,VAT (4.95%): 21.55 USD,443.30 USD,State Bank of Europe,Raf CAMP,15712023,SBININBB250
155,Template1_Instance58.jpg,24-Jul-2004,93,+(365)243-7347,franklin29@example.net,http://peterson.net/,295.59 $,(-) 7.27,VAT (3.61%): 10.66 $,294.90 $,Central Bank of USA,Raf CAMP,15225581,SBININBB250
156,Template1_Instance59.jpg,07-Feb-2022,36,+(485)494-5452,hunteramanda@example.org,http://www.lane-day.biz/,750.61 USD,(-) 15.91,VAT (5.23%): 39.26 USD,767.95 USD,State Bank of England,Raf CAMP,19924303,SBININBB250
157,Template1_Instance6.jpg,29-Nov-2007,27,+(124)182-1796,rickgould@example.org,http://www.jones.org/,612.99 EUR,(-) 29.3,VAT (3.74%): 22.93 EUR,610.54 EUR,Central Bank of Texas,Raf CAMP,10790583,SBININBB250
158,Template1_Instance60.jpg,12-Aug-1997,27,+(974)292-0789,tinaowens@example.com,https://rodriguez.com/,412.60 USD,(-) 19.64,VAT (6.92%): 28.54 USD,431.11 USD,Central Bank of California,Raf CAMP,14299657,SBININBB250
159,Template1_Instance61.jpg,16-May-1997,48,+(191)372-2221,laurentaylor@example.net,https://www.patterson.com/,593.76 USD,(-) 22.09,VAT (5.72%): 33.97 USD,606.06 USD,State Bank of Texas,Raf CAMP,11945727,SBININBB250
160,Template1_Instance62.jpg,23-Aug-2011,56,+(545)703-2959,wmalone@example.net,https://www.young.net/,746.07 EUR,(-) 21.26,VAT (6.64%): 49.51 EUR,767.53 EUR,State Bank of USA,Raf CAMP,19490895,SBININBB250
161,Template1_Instance63.jpg,15-Mar-2008,44,+(611)525-3318,rickynelson@example.org,http://www.whitaker-hicks.com/,332.76 EUR,(-) 11.18,VAT (5.70%): 18.96 EUR,343.20 EUR,Central Bank of England,Raf CAMP,18877627,SBININBB250
162,Template1_Instance64.jpg,08-Jul-2012,14,+(216)481-9780,youngryan@example.com,http://www.carroll-johnson.com/,1300.67 EUR,(-) 35.64,VAT (5.52%): 71.81 EUR,1327.22 EUR,State Bank of England,Raf CAMP,11573795,SBININBB250
163,Template1_Instance65.jpg,22-Jun-2010,76,+(650)490-8692,evanhodge@example.org,https://www.graham.net/,917.40 USD,(-) 36.33,VAT (3.88%): 35.57 USD,932.51 USD,State Bank of Europe,Raf CAMP,18388972,SBININBB250
164,Template1_Instance66.jpg,26-Jun-2008,51,+(309)527-4268,andrea84@example.net,http://huerta-forbes.com/,416.63 $,(-) 14.71,VAT (5.11%): 21.27 $,418.78 $,State Bank of Texas,Raf CAMP,16712661,SBININBB250
165,Template1_Instance67.jpg,25-Jun-1994,29,+(080)425-4670,mserrano@example.org,https://castillo.com/,370.23 EUR,(-) 8.07,VAT (3.87%): 14.32 EUR,368.30 EUR,Central Bank of Texas,Raf CAMP,17236168,SBININBB250
166,Template1_Instance68.jpg,13-May-2006,74,+(105)309-9128,pattonomar@example.org,http://randall-valenzuela.com/,630.82 USD,(-) 30.53,VAT (6.79%): 42.84 USD,644.20 USD,Central Bank of California,Raf CAMP,11252107,SBININBB250
167,Template1_Instance69.jpg,06-Jun-2012,45,+(929)281-2947,mpollard@example.org,https://williams-davis.com/,406.28 EUR,(-) 19.54,VAT (6.85%): 27.81 EUR,418.61 EUR,Central Bank of England,Raf CAMP,18554357,SBININBB250
168,Template1_Instance7.jpg,31-Jan-1995,13,+(561)861-5340,paulkerri@example.net,http://stevens.com/,1074.24 $,(-) 11.28,VAT (4.51%): 48.40 $,1077.74 $,State Bank of England,Raf CAMP,19760786,SBININBB250
169,Template1_Instance70.jpg,03-Oct-2022,31,+(168)382-4427,makayla89@example.com,http://www.johnson.com/,481.55 USD,(-) 18.25,VAT (4.79%): 23.05 USD,491.07 USD,State Bank of Europe,Raf CAMP,18837690,SBININBB250
170,Template1_Instance71.jpg,23-Mar-2017,52,+(780)514-6092,savannahle@example.org,http://ruiz-may.org/,356.53 USD,(-) 4.49,VAT (4.18%): 14.92 USD,354.55 USD,State Bank of USA,Raf CAMP,13447364,SBININBB250
171,Template1_Instance72.jpg,29-Dec-2016,72,+(241)865-1231,madison15@example.net,http://andrews-thompson.info/,400.38 USD,(-) 16.26,VAT (6.69%): 26.78 USD,413.55 USD,State Bank of Texas,Raf CAMP,10182621,SBININBB250
172,Template1_Instance73.jpg,15-Sep-2005,23,+(934)296-8657,thomas67@example.net,http://gould.biz/,862.49 EUR,(-) 20.27,VAT (5.57%): 48.07 EUR,889.00 EUR,State Bank of California,Raf CAMP,15593009,SBININBB250
173,Template1_Instance74.jpg,20-Mar-2008,09,+(540)930-2719,randy60@example.org,https://www.blake-robertson.org/,1179.24 EUR,(-) 40.68,VAT (4.09%): 48.25 EUR,1213.81 EUR,Central Bank of Texas,Raf CAMP,16876125,SBININBB250
174,Template1_Instance75.jpg,01-Apr-2008,13,+(113)002-2589,gbrennan@example.net,http://www.rodriguez.com/,420.76 $,(-) 20.83,VAT (6.51%): 27.39 $,437.00 $,Central Bank of Europe,Raf CAMP,16900759,SBININBB250
175,Template1_Instance76.jpg,13-Nov-2021,16,+(551)359-7959,mercadoamber@example.org,https://www.grant.com/,391.05 USD,(-) 16.19,VAT (4.22%): 16.48 USD,403.03 USD,Central Bank of Europe,Raf CAMP,14829950,SBININBB250
176,Template1_Instance77.jpg,03-Nov-2005,33,+(262)816-0692,garciatimothy@example.org,http://morgan-west.com/,308.29 EUR,(-) 11.28,VAT (5.16%): 15.89 EUR,310.52 EUR,State Bank of California,Raf CAMP,15898649,SBININBB250
177,Template1_Instance78.jpg,09-Dec-2010,74,+(342)004-1903,christine30@example.org,http://www.yu.com/,1298.25 EUR,(-) 54.79,VAT (3.67%): 47.67 EUR,1296.85 EUR,Central Bank of Texas,Raf CAMP,18947913,SBININBB250
178,Template1_Instance79.jpg,19-Jan-2012,69,+(466)051-5235,guy19@example.com,http://www.macias-potter.com/,1140.70 EUR,(-) 43.35,VAT (4.51%): 51.42 EUR,1170.45 EUR,State Bank of USA,Raf CAMP,11835110,SBININBB250
179,Template1_Instance8.jpg,16-Apr-2007,40,+(769)860-2976,perrydonna@example.net,http://www.curtis.com/,575.66 EUR,(-) 22.91,VAT (3.03%): 17.44 EUR,581.47 EUR,State Bank of California,Raf CAMP,15256903,SBININBB250
180,Template1_Instance80.jpg,06-Apr-1997,14,+(480)432-3346,bradley41@example.org,http://adams.org/,1167.76 EUR,(-) 37.49,VAT (3.20%): 37.38 EUR,1178.87 EUR,Central Bank of Europe,Raf CAMP,13498737,SBININBB250
181,Template1_Instance81.jpg,16-Oct-1998,65,+(458)167-7951,jparrish@example.com,https://johnson.com/,739.26 $,(-) 24.25,VAT (4.39%): 32.45 $,754.12 $,Central Bank of USA,Raf CAMP,11460054,SBININBB250
182,Template1_Instance82.jpg,09-Jun-2006,12,+(055)531-8842,thomasfigueroa@example.org,https://hubbard.net/,460.41 USD,(-) 10.13,VAT (4.78%): 22.03 USD,470.42 USD,State Bank of California,Raf CAMP,13890915,SBININBB250
183,Template1_Instance83.jpg,29-Apr-2000,71,+(626)525-0139,gloriafry@example.org,https://www.wilkerson.com/,295.73 $,(-) 8.46,VAT (3.05%): 9.03 $,298.82 $,Central Bank of Europe,Raf CAMP,12718310,SBININBB250
184,Template1_Instance84.jpg,13-Jul-2001,35,+(388)083-1853,kbauer@example.org,http://turner-flores.com/,587.78 EUR,(-) 23.45,VAT (3.40%): 19.97 EUR,583.00 EUR,Central Bank of Europe,Raf CAMP,12685663,SBININBB250
185,Template1_Instance85.jpg,15-Aug-2001,18,+(243)864-6770,sleblanc@example.net,http://porter.com/,431.45 USD,(-) 8.46,VAT (4.02%): 17.35 USD,442.41 USD,Central Bank of Texas,Raf CAMP,10554122,SBININBB250
186,Template1_Instance86.jpg,14-Aug-1993,74,+(058)085-3855,clarklauren@example.net,http://harrison.net/,430.20 $,(-) 21.17,VAT (6.83%): 29.39 $,448.62 $,State Bank of Texas,Raf CAMP,17919854,SBININBB250
187,Template1_Instance87.jpg,02-Dec-1998,08,+(716)413-8969,tiffanymcdonald@example.org,https://nguyen-jones.com/,531.36 EUR,(-) 24.71,VAT (3.93%): 20.89 EUR,535.46 EUR,Central Bank of California,Raf CAMP,17606315,SBININBB250
188,Template1_Instance88.jpg,06-Sep-2006,19,+(632)371-3173,graybobby@example.org,http://koch.com/,824.45 USD,(-) 23.74,VAT (3.42%): 28.24 USD,843.87 USD,State Bank of Europe,Raf CAMP,12967174,SBININBB250
189,Template1_Instance89.jpg,21-Jun-2008,12,+(316)263-8604,elizabethrobinson@example.net,https://johnson.biz/,289.00 $,(-) 10.9,VAT (3.02%): 8.74 $,291.44 $,State Bank of USA,Raf CAMP,11978676,SBININBB250
190,Template1_Instance9.jpg,16-Oct-2005,75,+(783)572-8210,bryce74@example.org,http://gill.com/,445.25 $,(-) 12.78,VAT (3.73%): 16.61 $,441.11 $,State Bank of England,Raf CAMP,13043063,SBININBB250
191,Template1_Instance90.jpg,15-Mar-1998,99,+(153)688-1347,janetgarrison@example.net,http://giles-juarez.com/,858.86 EUR,(-) 12.54,VAT (4.24%): 36.45 EUR,873.58 EUR,State Bank of USA,Raf CAMP,13515559,SBININBB250
192,Template1_Instance91.jpg,24-Nov-2006,94,+(623)828-4753,garciajesus@example.net,http://www.yu.com/,1190.68 EUR,(-) 25.48,VAT (3.61%): 42.93 EUR,1201.22 EUR,Central Bank of USA,Raf CAMP,18569841,SBININBB250
193,Template1_Instance92.jpg,01-Sep-1995,77,+(987)727-0142,stevenpace@example.net,https://carr.biz/,273.23 USD,(-) 6.48,VAT (3.85%): 10.53 USD,277.91 USD,Central Bank of USA,Raf CAMP,15115313,SBININBB250
194,Template1_Instance93.jpg,20-Jun-2010,23,+(769)768-9939,kenneth45@example.net,https://ho.com/,550.49 EUR,(-) 25.32,VAT (7.00%): 38.52 EUR,566.61 EUR,Central Bank of USA,Raf CAMP,18890652,SBININBB250
195,Template1_Instance94.jpg,30-Jun-2010,27,+(871)351-1726,barrsummer@example.org,http://www.phillips.org/,373.18 $,(-) 5.34,VAT (3.16%): 11.79 $,380.45 $,State Bank of Texas,Raf CAMP,10891658,SBININBB250
196,Template1_Instance95.jpg,10-Feb-2005,66,+(989)859-0993,zmarquez@example.org,https://www.gutierrez-christensen.biz/,211.65 $,(-) 3.7,VAT (5.81%): 12.29 $,221.61 $,State Bank of England,Raf CAMP,19160191,SBININBB250
197,Template1_Instance96.jpg,30-Oct-2014,65,+(198)054-7074,jeremymarsh@example.net,https://www.brown.com/,259.55 $,(-) 10.07,VAT (4.10%): 10.64 $,266.95 $,State Bank of England,Raf CAMP,10681922,SBININBB250
198,Template1_Instance97.jpg,15-Jul-2006,93,+(469)076-2971,thorntonmary@example.com,https://www.rivera-rodriguez.org/,782.34 EUR,(-) 11.74,VAT (6.99%): 54.69 EUR,819.74 EUR,State Bank of Europe,Raf CAMP,13298863,SBININBB250
199,Template1_Instance98.jpg,13-Aug-2003,73,+(342)876-5842,theodorerowe@example.com,http://mitchell.org/,667.54 USD,(-) 8.01,VAT (4.46%): 29.75 USD,666.38 USD,State Bank of USA,Raf CAMP,16182292,SBININBB250
200,Template1_Instance99.jpg,06-Dec-2000,16,+(245)624-3355,frances69@example.org,http://shaffer.com/,653.60 EUR,(-) 26.34,VAT (3.49%): 22.81 EUR,654.51 EUR,State Bank of USA,Raf CAMP,15394547,SBININBB250
